timestamp,round,model_hash,server_state_hash,client_updates_hash,checkpoint_file
1782179501.769857,1,a42c4f7d5d21a41098772ea1ed8abc97bf9f760e581415019e1f83c47a48c249,ce8bdd80fa4548c9edb88821eb75cd6eebae0511020def2dc957bc36f3bdea30,0932ba4a8ec6fe36c9fb001f8cc7024b6ce415a2de449d0f4cb1e3be82453dd3,checkpoints/model_a42c4f7d5d21a410.npz
1782179512.9908304,2,4899d91b217e8e31429f349fae767f52070981c7b8e7fca976bc380db9e64dd8,9d366d2572c77c4c6c95df4242c13e7c378300659b95b3c66564968ea0b9fa7d,a48bc2f6ad8e19eec6debf8ec4eb7a14dc07dfce30f0dc1153db59bc0866106d,checkpoints/model_4899d91b217e8e31.npz
1782179524.8907871,3,a09b4489c46bd2847027cc304d876d04ba8c8ee9b7cd49e198baf495376968f0,efbed96fb4c0115a738a1476ed13b71a99d735a7345bfde02ed7b55f1f2f123e,4bab801f537b9f64becbfc21af5125f931132b6a9d3dcfc10925d434e6602ea3,checkpoints/model_a09b4489c46bd284.npz
1782179535.3727725,4,42a30d4b3a099f1075ab095958a774e5b1fd28baba485e64e0a860cbc13d7232,9d366d2572c77c4c6c95df4242c13e7c378300659b95b3c66564968ea0b9fa7d,63edc79449a8067c8ed81a8d316e7fcc4b80a6866d49ae755afabda2f70c2b00,checkpoints/model_42a30d4b3a099f10.npz
1782179547.7071075,5,d5bbfdd67f481a5d7943b5043e8ed44440d522ec203df98cedba890fb63e9b94,ce8bdd80fa4548c9edb88821eb75cd6eebae0511020def2dc957bc36f3bdea30,b0250d0cd93cb97d1ddac533b954c1a1d378747ea175713fda551a2affdc62dc,checkpoints/model_d5bbfdd67f481a5d.npz
1782179561.3669105,6,924ddc385722e1dda7377ecb038d765854c19e19e0209f1fdc01efe7d665c7f6,5bce9e9735b42d4a6ebc289cd93d2f7d792a5498088ffa048ab6b711a6280c86,3f124bf64d1e5e99034b66fc9bf117f8d505c16d59b2d00205ab0f0529c264b3,checkpoints/model_924ddc385722e1dd.npz
1782179574.420494,7,4e79d2126c4bda73e5e626b1577a932902e71219bfb5f50aba63e1a72fbb5701,8c91c86ade8e7c1d217e64bfbeaba847ff4c0ff3e34d7439fc6d90601e19efbe,1f2f253aa43a9468c2b9c2b3ee1404e67e7ca1837d23d25017332f8c4daba24b,checkpoints/model_4e79d2126c4bda73.npz
1782179585.6775548,8,a57e807c39dea42f0156213d2cb7eb67dd697127772f297d9eebe647d1d4bb31,9d366d2572c77c4c6c95df4242c13e7c378300659b95b3c66564968ea0b9fa7d,50a1c1ad0683a22ae2f30b0ddc1c10ee4b2ebc04943e81110a80ad82e3d9c09b,checkpoints/model_a57e807c39dea42f.npz
1782179599.5767057,9,924ddc385722e1dda7377ecb038d765854c19e19e0209f1fdc01efe7d665c7f6,5bce9e9735b42d4a6ebc289cd93d2f7d792a5498088ffa048ab6b711a6280c86,6a058899f2a7fb0b204d2b4302c50b74a8fa29686b6ad12d9c0f6368f89c6a17,checkpoints/model_924ddc385722e1dd.npz
1782179612.8705559,10,f606d4852af3c3dd68d04df8b689a6bde167870edb8a1b4a4138dc80bf7090f9,8c91c86ade8e7c1d217e64bfbeaba847ff4c0ff3e34d7439fc6d90601e19efbe,7cbd79af436e75b1885310c69f929f1927f4ecfa1576432899b73e53d5125bfe,checkpoints/model_f606d4852af3c3dd.npz
