round,client_idx,tier,compute_speed,uplink_mbps,rtt_ms,online,status,epochs,upload_ratio,noise_multiplier,privacy_target_increment,predicted_compute_seconds,predicted_communication_seconds,predicted_total_seconds,utility_score
1,0,standard,0.9805857563529087,36.484710760159,35.67405782955898,False,unavailable,,,,,,,,
1,1,standard,1.0553677645251474,64.65362603003284,34.71659640405912,True,deadline_or_privacy,,,,,,,,
1,2,high,1.3762834145209901,188.08801334867297,10.568216420277183,True,deadline_or_privacy,,,,,,,,
1,3,standard,0.8793844531324903,40.71485883067564,33.840618758035674,True,failure_plan,,,,,,,,
1,4,standard,1.1374286013269022,48.862876122038244,32.75871567127764,True,deadline_or_privacy,,,,,,,,
1,5,high,1.7851894351604254,219.6883683055304,14.424688366587821,True,failure_plan,,,,,,,,
1,6,standard,0.9475194251020075,58.75044788165179,45.47123232608809,True,deadline_or_privacy,,,,,,,,
1,7,high,1.5009087309247235,243.87798007533888,12.597305967265923,True,deadline_or_privacy,,,,,,,,
1,8,standard,0.9205625751648183,45.35642523677989,33.47991125716662,True,deadline_or_privacy,,,,,,,,
1,9,constrained,0.46584203697444837,12.669233255157462,93.28491340097735,True,deadline_or_privacy,,,,,,,,
1,10,standard,1.0292372602768274,56.97386624074143,29.79315526660388,True,deadline_or_privacy,,,,,,,,
1,11,high,1.574429619058134,222.86543752913803,11.1607262858294,True,deadline_or_privacy,,,,,,,,
1,12,standard,1.0838029797862465,57.94895925545378,38.254734459442695,True,deadline_or_privacy,,,,,,,,
1,13,standard,1.1324679352150504,48.87801242772121,33.73589722196362,True,deadline_or_privacy,,,,,,,,
1,14,standard,1.102232680783154,50.57528109846134,32.6868689003931,True,deadline_or_privacy,,,,,,,,
1,15,constrained,0.4567152620959364,13.462300873401789,106.82584668874033,False,unavailable,,,,,,,,
1,16,constrained,0.4418195430319292,11.199117888827985,90.82884894506769,True,deadline_or_privacy,,,,,,,,
1,17,constrained,0.4814558742276488,7.919807604496766,83.16310607747931,True,deadline_or_privacy,,,,,,,,
1,18,standard,1.0790528951063159,53.36978867414099,34.409310730723476,True,failure_plan,,,,,,,,
1,19,standard,0.970968343103749,55.99988451769232,36.6311397946213,True,deadline_or_privacy,,,,,,,,
2,0,standard,0.9982628773250231,49.47980233823644,43.84062077602155,True,deadline_or_privacy,,,,,,,,
2,1,standard,1.0192589076307104,54.57633389514327,32.02652830319021,True,deadline_or_privacy,,,,,,,,
2,2,high,1.4268885383256795,185.91619806233564,11.292483736648439,True,failure_plan,,,,,,,,
2,3,standard,0.8625714809787292,41.997410522239974,38.299295543117395,True,failure_plan,,,,,,,,
2,4,standard,1.1033990520360537,52.9478319751466,37.99329158870136,True,deadline_or_privacy,,,,,,,,
2,5,high,1.6350340167506896,211.74064389847845,12.943054735925136,True,deadline_or_privacy,,,,,,,,
2,6,standard,0.9921143340016838,46.9518357557359,34.28570300988211,True,deadline_or_privacy,,,,,,,,
2,7,high,1.5379334525960817,190.58514335451588,12.70579625302223,True,deadline_or_privacy,,,,,,,,
2,8,standard,0.8997883132761982,47.48307803859592,31.217820021210166,True,deadline_or_privacy,,,,,,,,
2,9,constrained,0.5096638225932408,9.310701948239116,74.00464415371496,False,failure_plan,,,,,,,,
2,10,standard,1.1056507642789,41.871027514791564,34.900165023149846,True,deadline_or_privacy,,,,,,,,
2,11,high,1.7615597515637087,267.2813305437841,10.520209352181675,True,deadline_or_privacy,,,,,,,,
2,12,standard,1.0681104000670312,49.00261535143601,36.95550949193645,True,deadline_or_privacy,,,,,,,,
2,13,standard,1.0746601192230416,44.37781648773225,38.44352622741704,True,failure_plan,,,,,,,,
2,14,standard,0.9597368266386314,50.705034510793496,31.943297551222436,True,deadline_or_privacy,,,,,,,,
2,15,constrained,0.43108175511043395,13.206162923917088,89.63091911216296,True,deadline_or_privacy,,,,,,,,
2,16,constrained,0.45550620128161534,9.930722850744786,79.45681736982884,True,failure_plan,,,,,,,,
2,17,constrained,0.434020638335207,9.966731070828866,70.92315353990189,True,deadline_or_privacy,,,,,,,,
2,18,standard,0.9283887115823685,52.37747689010887,41.808612456899134,True,deadline_or_privacy,,,,,,,,
2,19,standard,0.8741779736689667,38.7396088105372,37.579920847164644,True,deadline_or_privacy,,,,,,,,
3,0,standard,1.0181000899669246,42.16169406789482,42.21855621181946,True,deadline_or_privacy,,,,,,,,
3,1,standard,0.9382976976166488,48.436004744483974,35.464026844408004,True,deadline_or_privacy,,,,,,,,
3,2,high,1.4766475108621353,151.1151203991829,9.738150727569359,True,deadline_or_privacy,,,,,,,,
3,3,standard,0.9670916789466223,42.016293197495884,32.31485279373543,True,deadline_or_privacy,,,,,,,,
3,4,standard,0.9957033481377411,48.301732277444735,36.940264233591435,True,failure_plan,,,,,,,,
3,5,high,1.8523601233339835,231.31308437545778,14.257207095860052,True,deadline_or_privacy,,,,,,,,
3,6,standard,0.9387351876773561,44.504647184340016,44.34086194150373,True,deadline_or_privacy,,,,,,,,
3,7,high,1.37486718837781,231.73562245983703,14.177909450165647,True,deadline_or_privacy,,,,,,,,
3,8,standard,0.9236636956694433,56.39694570712288,30.6058629641079,True,deadline_or_privacy,,,,,,,,
3,9,constrained,0.48572171813122783,10.6235837472372,88.58521032341595,True,deadline_or_privacy,,,,,,,,
3,10,standard,1.0646458001980583,52.31454409216827,30.5077729825032,True,deadline_or_privacy,,,,,,,,
3,11,high,1.845124788209376,263.07056694886484,12.403720419054322,True,deadline_or_privacy,,,,,,,,
3,12,standard,0.9889607163432138,55.30179431726688,31.661887606665463,True,deadline_or_privacy,,,,,,,,
3,13,standard,1.1272547158820454,58.03699358114916,38.304042813714226,True,failure_plan,,,,,,,,
3,14,standard,0.9341133324586313,47.052646127541045,30.72545070194345,True,failure_plan,,,,,,,,
3,15,constrained,0.4067099624667533,10.657787794516492,89.32238721114305,True,deadline_or_privacy,,,,,,,,
3,16,constrained,0.4401921688721741,11.019751227254588,88.86809639166474,True,failure_plan,,,,,,,,
3,17,constrained,0.4317103023577072,8.141890860657053,79.93118278193899,True,deadline_or_privacy,,,,,,,,
3,18,standard,1.0628384867966958,38.86080458305021,33.501802898111244,True,deadline_or_privacy,,,,,,,,
3,19,standard,0.8930579429437145,53.036287552539555,41.92275024029984,True,deadline_or_privacy,,,,,,,,
4,0,standard,0.9405739846145402,49.33421739535437,43.28417676730836,True,deadline_or_privacy,,,,,,,,
4,1,standard,1.0411376216903012,52.83462934005295,41.73361622713491,True,failure_plan,,,,,,,,
4,2,high,1.4320915751430658,195.9972999128092,11.39841445518067,True,failure_plan,,,,,,,,
4,3,standard,0.9182180958416255,41.098022258585154,34.11529920374724,True,failure_plan,,,,,,,,
4,4,standard,1.0990618762402442,41.298278974118844,31.347007902161135,True,deadline_or_privacy,,,,,,,,
4,5,high,1.7074805828272834,168.08448865491644,13.263887015417014,True,deadline_or_privacy,,,,,,,,
4,6,standard,1.1250863189159888,54.185738077210225,37.869420703671295,True,deadline_or_privacy,,,,,,,,
4,7,high,1.478243916523042,262.7330191649404,12.931275809959978,True,deadline_or_privacy,,,,,,,,
4,8,standard,0.909876722195365,56.94637206469156,31.08677639771505,True,deadline_or_privacy,,,,,,,,
4,9,constrained,0.43723552137354255,9.10431587598225,79.38968525396038,True,failure_plan,,,,,,,,
4,10,standard,0.9611352235122516,46.54159100947447,28.173797238186268,True,deadline_or_privacy,,,,,,,,
4,11,high,1.8179676474158508,249.6558038560992,11.0951649626373,True,deadline_or_privacy,,,,,,,,
4,12,standard,1.044824113155587,51.377191563307065,35.79859689224546,True,deadline_or_privacy,,,,,,,,
4,13,standard,1.0879836800403524,49.496500184358524,34.40060387278832,True,deadline_or_privacy,,,,,,,,
4,14,standard,1.079218478342499,50.84306962831292,35.378566654539654,True,deadline_or_privacy,,,,,,,,
4,15,constrained,0.41881647934081795,12.00950362558088,85.20327636232867,True,deadline_or_privacy,,,,,,,,
4,16,constrained,0.4379331590763253,10.737981462632595,77.35531061831905,True,deadline_or_privacy,,,,,,,,
4,17,constrained,0.4962529482875534,8.399746294270983,82.59319679584975,True,deadline_or_privacy,,,,,,,,
4,18,standard,0.9041064115099889,52.882196463180485,40.428442351448844,True,failure_plan,,,,,,,,
4,19,standard,0.9562331405495755,56.657643949567465,44.136010965904184,True,deadline_or_privacy,,,,,,,,
5,0,standard,0.9413405235557322,40.96563311786518,36.06884471585886,True,deadline_or_privacy,,,,,,,,
5,1,standard,0.8967019040249758,58.32890691997453,34.76972254601754,True,deadline_or_privacy,,,,,,,,
5,2,high,1.4431872694565524,167.61422246790514,8.944795618226717,True,deadline_or_privacy,,,,,,,,
5,3,standard,1.0301346149025505,40.995111015625,33.17293092926649,True,deadline_or_privacy,,,,,,,,
5,4,standard,0.9767388279080315,52.862172404858455,32.417876983119136,True,failure_plan,,,,,,,,
5,5,high,1.5303895668091814,165.37212248413314,13.352373697519964,True,failure_plan,,,,,,,,
5,6,standard,1.0611145970647133,51.0271309167764,36.00782878329517,True,deadline_or_privacy,,,,,,,,
5,7,high,1.3899358443977596,255.38967050045028,14.488710726795034,True,deadline_or_privacy,,,,,,,,
5,8,standard,0.9394235994969049,46.81816379566853,30.177490739979554,True,deadline_or_privacy,,,,,,,,
5,9,constrained,0.46410453288316816,12.506164633284815,77.93542769353759,True,deadline_or_privacy,,,,,,,,
5,10,standard,1.0436442368908376,54.30805336127613,28.171545412226155,True,deadline_or_privacy,,,,,,,,
5,11,high,1.6605565216047085,221.63544740001683,12.97691996621581,True,deadline_or_privacy,,,,,,,,
5,12,standard,1.0105339415954886,53.25656559095553,32.0999676994656,True,deadline_or_privacy,,,,,,,,
5,13,standard,0.9662737565543417,56.63993460945213,35.63467902458048,True,failure_plan,,,,,,,,
5,14,standard,1.1199110337252194,39.54134976999572,32.00969249337315,True,deadline_or_privacy,,,,,,,,
5,15,constrained,0.46853425358161577,12.233980360713982,107.6622910694853,True,deadline_or_privacy,,,,,,,,
5,16,constrained,0.4846489226234196,10.181448783210651,98.56087442736464,True,deadline_or_privacy,,,,,,,,
5,17,constrained,0.4358284160470059,8.693893732331258,80.05897374979807,True,deadline_or_privacy,,,,,,,,
5,18,standard,1.0595225692679653,38.357243351303296,33.67455906255829,True,deadline_or_privacy,,,,,,,,
5,19,standard,0.9045057023638929,40.17493979412387,35.11557305929815,True,deadline_or_privacy,,,,,,,,
6,0,standard,0.8948785840010757,52.451228278719675,37.078046694170645,True,deadline_or_privacy,,,,,,,,
6,1,standard,1.0038076650908598,57.18406783111484,41.28345754804819,True,deadline_or_privacy,,,,,,,,
6,2,high,1.5991115465337065,177.95971578543498,9.632557949549387,True,deadline_or_privacy,,,,,,,,
6,3,standard,0.9429675952788624,48.370601719509985,33.67643572284053,True,deadline_or_privacy,,,,,,,,
6,4,standard,1.0430249135646852,46.59881462934338,39.05476462242905,True,deadline_or_privacy,,,,,,,,
6,5,high,1.8300998732854383,197.2453025738341,14.253825838969082,True,deadline_or_privacy,,,,,,,,
6,6,standard,0.9880155683379349,45.41808150177536,42.536096552053436,True,deadline_or_privacy,,,,,,,,
6,7,high,1.4565815786122702,235.26329694386467,12.824427296545764,True,deadline_or_privacy,,,,,,,,
6,8,standard,0.9646017186433504,41.2501167591191,28.856013234737894,True,deadline_or_privacy,,,,,,,,
6,9,constrained,0.42295516333398586,8.837655252475228,92.51922722071085,True,deadline_or_privacy,,,,,,,,
6,10,standard,1.035655255767553,38.90273676304925,31.61084838751,True,deadline_or_privacy,,,,,,,,
6,11,high,1.5632255925276628,187.88692427767634,10.426738005139164,True,deadline_or_privacy,,,,,,,,
6,12,standard,0.9539023604687276,41.38706987500282,39.030670895319695,True,deadline_or_privacy,,,,,,,,
6,13,standard,1.1634568801160956,60.59530642148467,31.25630357618852,True,deadline_or_privacy,,,,,,,,
6,14,standard,1.0306795747197302,51.68671264992467,34.096606251320786,True,deadline_or_privacy,,,,,,,,
6,15,constrained,0.44650749049140875,9.605072564027827,98.10693643176042,True,deadline_or_privacy,,,,,,,,
6,16,constrained,0.4233889998835621,8.309174466641455,84.5826239930005,True,deadline_or_privacy,,,,,,,,
6,17,constrained,0.45048868128512976,9.743213563218575,84.17990801730737,True,deadline_or_privacy,,,,,,,,
6,18,standard,0.9376602691945137,50.95745236310686,43.14676434490563,True,failure_plan,,,,,,,,
